# Nome da Prestadora	CNPJ da Prestadora	RN1
A. P. OLIVEIRA	5462382000199	55225
ABC TELECOM - COMUNICAÇÃO LTDA - ME	4913154000125	55833
ACER TELECOMUNICAÇÕES LTDA - ME	8623051000181	55853
ACESSO TOTAL COMERCIO, INTERNET E SERVIÇOS - EPP	8056131000100	55812
ADP3 TEELCOMUNICAÇÕES LTDA	13954560000127	55222
ADVANCE TELECOMUNICAÇÕES LTDA	13859862000116	55298
ADYL NET ACESSO A INTERNET LTDA	6061646000165	55176
AEROTECH TELECOMUNICACOES LTDA	86734597000113	55127
AGIL COMERCIAL DO BRASIL INFORMÁTICA E COMUNICAÇÃO LTDA	10480844000130	55842
ALPHA TELECOMUNICAÇÕES LIDA. ME	5492370000107	55285
ALPHA	3593006000108	55173
AMERICA NET LTDA	1778972000174	55106
AMIGO TELECOMUNICACOES EIRELI ? ME?	27924375000102	55855
AMIGO TELECOMUNICAÇÕES LTDA	7436681000184	55146
AMPERNET TELECOMUNICAÇÕES LTDA	4596419000109	55216
ANDRADE	10856456000101	55282
ANGOLA CABLES BRASIL LTDA	20609743000170	55825
AUE PROVEDOR DE INTERNET LTDA	9177971000186	55148
AVA TELECOMUNICAÇÕES LTDA	14052580000175	55205
BALDUSSI SOLUÇÕES LTDA - ME	8902203000185	55295
BBS OPTIONS	80111818000110	55149
BCMG INTERNET LTDA	4964902000107	55232
BITCOM PROVEDOR DE SERVIÇOS DE INTERNET LTDA	413707000120	55278
BLUE TELECOMUNICAÇÕES LTDA	18996247000175	55252
BMBB SERVIÇOS DE COMUNICAÇÃO LTDA	9580731000128	55208
BR GROUP TELECOMUNICAÇÕES LTDA	12488125000191	55157
BRASIL DIGITAL TELECOMUNICAÇÕES LTDA	11966640000177	55235
BRASIL TELECOM FILIAL/AC	76535764032770	55114
BRASIL TELECOM FILIAL/DF	76535764032690	55114
BRASIL TELECOM FILIAL/GO	76535764032851	55114
BRASIL TELECOM FILIAL/MS	76535764032428	55114
BRASIL TELECOM FILIAL/MT	76535764032932	55114
BRASIL TELECOM FILIAL/PR	76535764032185	55114
BRASIL TELECOM FILIAL/RO	76535764032347	55114
BRASIL TELECOM FILIAL/RS(CRT)	76535764000224	55114
BRASIL TELECOM FILIAL/RS(CTMR)	76535764033076	55114
BRASIL TELECOM FILIAL/SC	76535764032266	55114
BRASIL TELECOM	76535764000143	55114
BRASILFONE COMUNICAÇÃO LTDA - ME	8228429000142	55231
BRASREDE TELECOMUNICAÇÕES LTDA	5896206000165	55254
BRAZILIAN TELECOMUNICAÇÕES LTDA - ME	21309090000177	55274
BT COMMUNICATIONS DO BRASIL LTDA	3076075000144	55147
BULL BLACK TECHNOLOGY LTDA ME	12308023000147	55288
BY AIR TELECOM LTDA - EPP	14313526000136	55801
BYTEWEB COMUNICAÇÃO MULTIMÍDIA LTDA	10468974000158	55852
CABO SERVIÇOS DE TELECOMUNICAÇÕES LTDA	2952192000161	55152
CAMBRIDGE TELECOMUNICAÇÕES LTDA	8062253000100	55150
CARVALHAES INFORMÁTICA LTDA ME	7236167000103	55213
CATAGUASES NET LTDA - ME	10907296000182	55291
CGB VOIP INFORMÁTICA E COMUNICAÇÃO LTDA	7716753000147	55160
CIA ITABIRANA DE TELECOMUNICAÇÕES LTDA	5684180000191	55203
CIA TELECOMUNICAÇÕES DO BRASIL CENTRAL	71208516000174	55112
CITTÀ TELECOM LTDA	12935241000101	55223
C-LIGUE TELECOMUNICAÇÕES LTDA	14808118000155	55284
COMPUSERVICE EMPREENDIMENTOS LTDA	2985578000170	55802
CONECTA S J DEL-REI LTDA	988887000178	55236
CONECTA TELECOMUNICACOES S.A.	4533132000130	55189
CONNECTRONIC SERVIÇOS LTDA - EPP	5467602000177	55269
CONVERGIA	4406081000185	55132
COPREL TELECOM LTDA	12388471000106	55817
CORDIA COMUNICAÇÕES S/A	6225000000176	55234
CPNET COMÉRICIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA	6349207000152	55281
CZNET TELECOM LTDA.	6910203000100	55830
DEFFERRARI SOLUCOES EM INTERNET LTDA - EPP	8190344000112	55845
DESKTOP SIGMANET COMUNICAÇÃO MULTIMÍDIA LTDA	8170849000115	55206
DIALDATA TELECOMUNICAÇÕES LTDA	5406478000130	55124
DIGI SOLUÇÕES DE COMUNICAÇÃO LTDA	6126611000167	55202
DIGITAL DESIGN - SEVIÇOS DE INFORMÁTICA LTDA - DIPELNET	7493196000142	55103
DIOGENES BAYDE IMPORTADORA E EXPORTADORA LTDA	41644220000135	55104
DIRETA COMUNICAÇÕES LTDA - ME	13498018000107	55257
DSLI	6053352000191	55136
EAD - ENSINO À DISTÂNCIA LTDA	8770202000124	55197
EASYTONE	4760795000197	55135
EMBRATEL	33530486000129	55121
EMPIRE SERVIÇOS DE INTERNET EIRELI - EPP	2512731000141	55261
ENCANTO TELECOM COM. E SERV. EM TELECOMUNICAÇÕES LTDA	11400830000122	55110
ENGEVOX	26059394000147	55156
ENSITE BRASIL TELECOMUNICAÇÕES LTDA	7729336000139	55199
EQUANT BRASIL LTDA	66624776000190	55214
EQUATORIAL TELECOMUNICAÇÕES LTDA	10995526000102	55818
ESPAS TELECOMUNICAÇÕES LTAD	5597358000167	55155
ETML - EMPRESA DE TELEFÔNIA MULTIUSUÁRIO LTDA	68785641000132	55134
FALE MAIS COMUNICAÇÕES LTDA EPP	14284858000130	55827
FALKLAND TECNOLOGIA EM TELECOMUNICAÇÕES LTDA	1009876000161	55191
FIBER VOX TELECOMUNICAÇÕES DO BRASIL EIRELI	24492300000101	55289
FIDELITY TELECOMUNICAÇÕES E MULTIMÍDIA S.A.	11332838000107	55116
FIOS TECNOLOGIA DA INFORMACAO EIRELI - ME	25125064000140	55856
FLEXUS TELECOM LTDA	4780398000187	55851
FLY LINK LTDA	5005524000199	55847
FONAR TELECOM	7401988000140	55113
FORTEL FORTALEZA TELECOMUNICAÇÕES LTDA - EPP	6809941000157	55820
FRB TELECOMUNICAÇÕES - EIRELI - ME	24605227000129	55819
G30 TELECOM SERVIÇOS DE TELECOMUNICAÇÕES LTDA	12538334000100	55154
GENTE TELECOM DO BRASIL EIRELI ME	11652220000116	55277
GGNET TELECOMUNICAÇÕES LTDA	4873690000144	55221
GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA.	6236865000138	55292
GIGANET SERVIÇOS DE INTERNET - LTDA	8218558000150	55822
GLOBAL CROSSING COMUNICACOES DO BRASIL LTDA.	72843212000141	55145
GLOBAL LINES NETWORK TELECOMUNICAÇÕES DO BRASIL LTDA	13021122000106	55296
GLOBAL OSI BRASIL TELECOMUNICAÇÕES E CONECTIVIDADE LTDA	7704947000122	55108
GLOBAL TELECOM EIRELI	16995709000104	55228
GLOBAL VILLAGE TELECOM	3420926000124	55125
GOLDEN LINE TELECOM LTDA	3455119000147	55137
GRANDI SISTEMAS DE INFORMAÇÕES LTDA	8339512000199	55218
GRUPO G1 TELECOMUNICAÇÕES LTDA	3868136000106	55204
GSCOM TECNOLOGIA E SERVIÇOS EM TELECOMUNICAÇÃO LTDA	8824192000162	55805
GT GROUP INTERNATIONAL BRASIL TELECOMUNICAÇÕES LTDA	5663379000133	55142
GTI TELECOMUNICAÇÕES LTDA	13045346000158	55120
GUIFAMI INFORMÁTICA LTDA - EPP	3988184000138	55849
HELLO BRAZIL TELECOMUNICACOES LTDA	8163618000184	55163
HIGH CONNECT - REDES ELÉTRICAS E DE TELECOMUNICAÇÕES LTDA - EPP	12489398000150	55275
HIT TELECOMUNIAÇÕES LTDA	9446842000146	55201
HOINASKY E SKLASKY LTDA - ME	9385611000170	55251
